Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
i8,2011,Africa,Blue,Electric,Manual,3.6,51308,46524,976,Low
M3,2024,South America,Silver,Diesel,Automatic,3.2,127813,91907,7871,High
M3,2024,Africa,White,Electric,Automatic,2.3,145803,97696,9847,High
M5,2011,Africa,Red,Electric,Manual,4.6,93642,34803,9466,High
i3,2016,South America,Grey,Hybrid,Manual,3.5,10315,90885,352,Low
X1,2013,Middle East,Silver,Diesel,Automatic,1.6,102333,104692,9694,High
X1,2021,Asia,Red,Hybrid,Automatic,3,195560,49846,1751,Low
M3,2014,South America,Red,Diesel,Automatic,4.5,99722,55578,5918,Low
X1,2022,Africa,Black,Petrol,Automatic,2.3,168574,58565,8467,High
7 Series,2023,Africa,Silver,Electric,Manual,3.8,117510,79905,9006,High
X1,2018,Africa,Red,Electric,Automatic,3.4,95224,60468,3488,Low
X6,2019,Asia,Blue,Petrol,Manual,4,168601,119789,1108,Low
X5,2010,South America,Blue,Electric,Manual,1.9,3527,88270,9053,High
5 Series,2018,South America,Black,Diesel,Automatic,1.8,159500,69615,482,Low
X1,2018,Asia,Red,Electric,Manual,3.8,88479,60885,7285,High
X5,2011,Middle East,Red,Diesel,Manual,2.5,195149,35817,5236,Low
X5,2011,South America,Grey,Electric,Automatic,4.2,20130,58738,1179,Low
X5,2024,Asia,Silver,Diesel,Automatic,2.3,98028,116106,1957,Low
7 Series,2018,Europe,Grey,Hybrid,Manual,5,193003,79363,1377,Low
i8,2020,South America,Black,Diesel,Manual,4.5,80473,74393,8836,High
3 Series,2017,North America,Blue,Hybrid,Automatic,2.1,148688,91161,6635,Low
X1,2021,Africa,White,Diesel,Automatic,3.8,153976,47258,8041,High
5 Series,2013,Europe,Silver,Petrol,Manual,1.8,115047,38707,9403,High
5 Series,2010,Europe,White,Diesel,Automatic,4.5,67556,116100,2667,Low
X1,2017,Africa,Black,Diesel,Automatic,3.8,113840,69464,9188,High
X6,2012,Africa,Silver,Electric,Automatic,2.4,161360,92498,7650,High
M3,2020,South America,Black,Diesel,Manual,3.2,62551,41991,451,Low
X5,2013,Europe,Red,Electric,Automatic,4.2,54143,87961,6799,Low
X3,2018,Asia,White,Electric,Manual,2.9,20137,106570,1387,Low
3 Series,2023,Europe,Silver,Electric,Automatic,3.9,30167,106591,8518,High
M3,2023,Europe,Grey,Diesel,Automatic,4,9528,87292,7670,High
X6,2020,Africa,Grey,Diesel,Manual,3.2,157096,98855,3598,Low
M3,2010,Europe,Blue,Petrol,Manual,4,39930,85036,5395,Low
7 Series,2020,Europe,Blue,Petrol,Automatic,3.5,103850,62178,9562,High
X5,2023,North America,Black,Hybrid,Automatic,2.3,176223,79177,6507,Low
X1,2023,North America,Blue,Electric,Automatic,4.4,46441,33046,5752,Low
X6,2023,Africa,Silver,Hybrid,Automatic,3.3,115874,30448,7093,High
M5,2016,Asia,Grey,Electric,Manual,3.8,85557,63717,5901,Low
X6,2023,Europe,Black,Petrol,Automatic,3.2,172137,102882,6207,Low
X5,2019,Europe,Red,Electric,Manual,2.6,9139,87692,330,Low
7 Series,2017,Africa,Red,Petrol,Manual,3.9,80417,43211,4985,Low
7 Series,2022,Europe,Grey,Diesel,Automatic,4.3,86305,67498,2009,Low
X6,2013,Africa,Silver,Petrol,Manual,4.9,134811,61298,3253,Low
5 Series,2010,Middle East,White,Petrol,Automatic,3.8,33844,99529,5086,Low
7 Series,2021,Europe,Blue,Petrol,Automatic,3.2,165481,38491,6795,Low
i8,2011,Asia,Silver,Hybrid,Automatic,1.8,124653,94562,5937,Low
5 Series,2024,South America,Red,Hybrid,Manual,3.5,195882,31666,7266,High
X5,2016,North America,Blue,Diesel,Automatic,3,174463,107270,4975,Low
M5,2019,North America,Red,Diesel,Automatic,1.9,190870,32883,8092,High
3 Series,2023,Asia,Blue,Electric,Automatic,4.8,5359,96189,9931,High
X6,2020,Middle East,Blue,Diesel,Automatic,3.1,31501,48875,3259,Low
X3,2019,North America,Black,Electric,Automatic,1.8,156449,33332,9113,High
i3,2011,Asia,Blue,Diesel,Manual,2.5,144770,113660,371,Low
i3,2019,Middle East,Blue,Diesel,Automatic,2.6,62546,72343,528,Low
M3,2011,North America,White,Petrol,Automatic,4.5,124560,90331,1676,Low
X1,2023,Europe,Red,Electric,Manual,4.6,190446,66635,9004,High
X6,2011,South America,Blue,Petrol,Manual,3.7,115934,58367,6833,Low
7 Series,2011,South America,Blue,Hybrid,Manual,3.5,162872,62186,1178,Low
i8,2012,Africa,White,Electric,Manual,1.9,99489,64984,3212,Low
X3,2013,Africa,Red,Hybrid,Manual,2.1,112325,107607,907,Low
X1,2021,Middle East,Red,Hybrid,Manual,1.6,38570,45281,2506,Low
X3,2024,Africa,Blue,Hybrid,Manual,4.2,74510,113495,7453,High
X6,2023,North America,Black,Hybrid,Automatic,2.4,65605,110986,6631,Low
X5,2023,Middle East,Blue,Electric,Manual,2.1,90118,70199,5213,Low
M5,2010,Asia,White,Hybrid,Automatic,3.3,44806,54650,927,Low
M5,2024,Africa,Grey,Petrol,Automatic,4.3,102395,64943,8818,High
M3,2014,South America,Grey,Electric,Manual,2.7,188046,69465,418,Low
i3,2024,South America,Red,Electric,Manual,3.5,87401,67449,9226,High
5 Series,2015,Europe,Silver,Electric,Manual,3.3,93943,72030,359,Low
i3,2014,Africa,Silver,Electric,Automatic,2.9,197638,112658,4649,Low
7 Series,2015,Middle East,Red,Diesel,Manual,3.6,3554,53556,5962,Low
7 Series,2014,Africa,Blue,Petrol,Manual,3,183082,111853,5949,Low
X5,2023,Europe,Grey,Diesel,Automatic,3.2,114465,111932,8502,High
i8,2022,Asia,White,Petrol,Automatic,1.8,14732,57174,4560,Low
X3,2013,Africa,White,Hybrid,Automatic,3.5,13997,71714,6017,Low
X3,2023,Africa,Red,Petrol,Manual,3.3,79019,50713,6708,Low
M5,2015,North America,Silver,Petrol,Manual,2.3,98550,114997,9279,High
M5,2019,Middle East,Blue,Electric,Automatic,3.9,77905,102310,7000,High
X6,2021,Africa,Black,Petrol,Manual,4.1,22501,113538,1061,Low
X5,2011,Asia,Grey,Diesel,Manual,4.7,137824,81896,9711,High
3 Series,2019,South America,Grey,Electric,Automatic,3.7,80573,70299,3547,Low
X6,2021,North America,Red,Hybrid,Automatic,4.5,182232,56846,6892,Low
X1,2014,Asia,White,Diesel,Automatic,1.9,28487,95685,2419,Low
M3,2010,Middle East,Blue,Hybrid,Automatic,4.8,17146,45363,2177,Low
i8,2019,Asia,Silver,Electric,Manual,4,122119,70193,5347,Low
X5,2021,North America,Black,Petrol,Automatic,4.1,57553,67993,3929,Low
M3,2013,Africa,Red,Diesel,Automatic,4.1,47589,73208,7510,High
X1,2021,Middle East,Black,Hybrid,Manual,4.7,66291,49651,3887,Low
M3,2016,Asia,Black,Electric,Manual,2.1,27658,51838,7318,High
X1,2024,Middle East,Black,Diesel,Manual,3.5,198291,36267,2804,Low
X1,2010,Africa,Red,Hybrid,Manual,1.8,81046,37571,2923,Low
M3,2013,Asia,White,Petrol,Automatic,1.9,113858,105883,6887,Low
X6,2022,South America,Red,Diesel,Manual,3.1,175287,35222,7710,High
i3,2011,North America,Grey,Diesel,Automatic,2.5,81908,118038,6172,Low
X5,2018,Asia,Silver,Electric,Manual,2.4,33087,109835,9730,High
M3,2017,Africa,Black,Diesel,Automatic,3.7,187759,34740,9027,High
X6,2017,Africa,Black,Hybrid,Manual,2.4,53909,73245,3172,Low
X6,2014,South America,Grey,Hybrid,Automatic,1.6,110837,72336,5834,Low
i8,2011,North America,Silver,Diesel,Manual,3.1,105280,72477,7056,High
X1,2016,Africa,Red,Diesel,Automatic,4.1,5916,42215,8878,High
X5,2018,Middle East,Grey,Diesel,Automatic,4.2,177784,55780,8469,High
3 Series,2016,South America,Red,Electric,Automatic,4.4,26438,72426,1661,Low
3 Series,2017,South America,Blue,Petrol,Manual,2.1,146245,55835,3272,Low
i8,2013,Africa,Blue,Electric,Automatic,5,84292,85331,8522,High
X3,2017,Europe,White,Electric,Manual,2.9,122272,37060,3900,Low
M5,2010,Asia,White,Electric,Automatic,2.9,197858,76738,4484,Low
X6,2023,South America,White,Petrol,Manual,1.9,45357,37951,2215,Low
M5,2020,Africa,Blue,Petrol,Automatic,4.3,37206,97343,286,Low
X1,2018,Africa,Grey,Diesel,Manual,4.2,3563,91746,2964,Low
3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,4182,Low
M3,2013,Europe,White,Hybrid,Manual,1.8,123647,51480,8733,High
M3,2021,Asia,Silver,Petrol,Automatic,4.7,182613,72995,9520,High
M3,2018,Middle East,Silver,Diesel,Automatic,4,112536,46815,1414,Low
X6,2017,Asia,White,Petrol,Automatic,2.9,745,115176,5399,Low
X3,2015,Europe,Black,Hybrid,Manual,1.8,28735,74155,2002,Low
X3,2024,Europe,White,Electric,Automatic,4.1,24240,98696,417,Low
i3,2011,North America,Silver,Hybrid,Automatic,1.6,13417,34675,1487,Low
X6,2018,Middle East,Red,Petrol,Automatic,3.4,141453,46452,2425,Low
M3,2010,South America,Red,Electric,Automatic,2.6,66802,71192,8559,High
7 Series,2015,South America,Black,Electric,Automatic,3.3,18383,103953,6362,Low
7 Series,2017,Middle East,White,Petrol,Manual,2,117817,97740,2759,Low
3 Series,2018,South America,Blue,Diesel,Automatic,4.2,172304,110231,8397,High
X1,2019,South America,Grey,Diesel,Manual,3.4,148919,98173,4753,Low
5 Series,2019,South America,Black,Diesel,Manual,1.7,127899,112889,1246,Low
X3,2024,North America,Black,Diesel,Automatic,3.6,96148,71692,367,Low
5 Series,2011,North America,Black,Petrol,Manual,3.1,37081,85646,4554,Low
i3,2010,Middle East,Black,Electric,Automatic,4.6,151988,87594,2619,Low
7 Series,2024,Asia,White,Hybrid,Automatic,3.6,44054,93399,4364,Low
7 Series,2020,Middle East,Blue,Hybrid,Automatic,3.1,76907,84722,6363,Low
i8,2023,Middle East,Grey,Hybrid,Manual,3.8,96577,90709,7112,High
X1,2012,Asia,Red,Hybrid,Automatic,2.2,149997,73270,1816,Low
7 Series,2020,South America,Red,Petrol,Manual,1.8,51826,43973,7148,High
X6,2013,North America,Silver,Electric,Manual,3.8,115052,57722,1004,Low
X1,2023,North America,Red,Petrol,Automatic,2.3,143277,101258,4318,Low
3 Series,2015,Middle East,Silver,Diesel,Automatic,2.2,185033,37005,9914,High
7 Series,2018,Africa,Silver,Hybrid,Automatic,3.3,137799,62482,9529,High
X1,2014,Africa,Red,Hybrid,Manual,2,159545,33667,2776,Low
i3,2017,North America,Black,Electric,Manual,1.5,124581,73032,9076,High
X5,2019,Asia,Black,Petrol,Manual,4.7,181601,83666,8336,High
7 Series,2020,North America,Red,Electric,Manual,3.2,86783,64279,3925,Low
X1,2021,North America,Black,Petrol,Manual,3.6,190680,106459,2658,Low
M5,2024,Middle East,Blue,Diesel,Automatic,1.6,2710,89908,7963,High
i3,2015,South America,White,Electric,Manual,3.5,88083,57814,3972,Low
3 Series,2022,Europe,Silver,Hybrid,Automatic,3.3,121561,81660,2560,Low
3 Series,2011,North America,Grey,Electric,Manual,1.6,185327,73411,7894,High
X1,2014,North America,Silver,Electric,Automatic,2.9,130954,42921,5682,Low
3 Series,2017,Asia,Silver,Electric,Manual,3.8,188133,101640,3226,Low
X6,2019,Asia,Grey,Electric,Manual,3.1,148770,57651,5941,Low
M5,2019,Middle East,White,Hybrid,Automatic,1.6,182481,34000,6368,Low
X5,2012,Middle East,Blue,Petrol,Automatic,2.5,61518,47385,5743,Low
3 Series,2014,Africa,Red,Petrol,Manual,4.2,146819,56577,3757,Low
M5,2022,Europe,Silver,Diesel,Automatic,4.7,191316,96314,8569,High
i8,2022,Middle East,Black,Electric,Automatic,4.7,79119,48964,7685,High
X6,2018,Middle East,Red,Diesel,Manual,4.9,120462,69532,3955,Low
i3,2012,Middle East,Black,Electric,Automatic,4,34713,71637,138,Low
X6,2020,Europe,Blue,Hybrid,Manual,2.5,195482,67709,5797,Low
X1,2013,South America,Red,Petrol,Manual,2.7,3401,82901,3074,Low
M3,2019,Middle East,Blue,Petrol,Automatic,3.2,113589,107786,5513,Low
X3,2014,South America,Black,Hybrid,Automatic,3.7,182943,98417,3510,Low
i3,2019,Asia,Red,Petrol,Automatic,3.7,167688,30512,7347,High
X5,2010,Middle East,Red,Hybrid,Manual,4.3,103982,111034,753,Low
X1,2012,South America,Blue,Hybrid,Manual,3.2,28288,89554,9233,High
X3,2011,Middle East,White,Petrol,Manual,1.7,33142,47617,1944,Low
3 Series,2021,Europe,Grey,Hybrid,Manual,3.7,140720,68301,4906,Low
M5,2022,Africa,Red,Petrol,Manual,1.6,49350,113113,8198,High
X5,2014,Europe,Silver,Hybrid,Automatic,1.7,36005,52561,7461,High
i3,2015,North America,Grey,Hybrid,Manual,1.6,6810,36118,8103,High
5 Series,2022,Middle East,Black,Diesel,Automatic,2.8,153362,67524,8222,High
X5,2016,Africa,White,Electric,Automatic,3.2,155877,51921,5502,Low
M5,2012,Asia,Black,Petrol,Manual,3,45096,103794,4640,Low
i8,2016,North America,Blue,Petrol,Manual,2.9,189229,103129,9564,High
3 Series,2019,South America,White,Diesel,Manual,1.8,7568,78161,9950,High
M3,2019,Middle East,Blue,Diesel,Automatic,4.8,39118,80420,7314,High
X5,2015,Middle East,Silver,Petrol,Manual,3.3,97017,106463,9625,High
X6,2021,Middle East,Black,Hybrid,Manual,4.8,60527,84094,5194,Low
i3,2020,Middle East,Silver,Hybrid,Automatic,4.1,192571,95319,879,Low
i8,2013,Asia,Black,Electric,Automatic,4,22261,95504,4772,Low
X3,2018,North America,Silver,Hybrid,Automatic,3.9,107079,83590,7955,High
i8,2020,Middle East,White,Diesel,Manual,2.3,3777,83039,4686,Low
i8,2017,Africa,Red,Electric,Automatic,2.3,25610,55450,2590,Low
3 Series,2011,North America,Black,Diesel,Automatic,3.7,72255,48090,6473,Low
i8,2017,Africa,Blue,Electric,Automatic,1.6,104428,108633,9961,High
X3,2018,Africa,Blue,Petrol,Automatic,2.2,29507,32637,2662,Low
i3,2011,North America,White,Hybrid,Automatic,4.4,25295,59699,9241,High
X1,2019,Europe,Red,Petrol,Manual,3,152196,58549,2832,Low
X3,2018,Asia,Black,Electric,Manual,4.5,155036,55122,4364,Low
5 Series,2021,South America,Black,Hybrid,Manual,1.9,161725,94950,6058,Low
M3,2010,Middle East,Black,Diesel,Automatic,4.5,25257,77621,8504,High
X5,2022,Middle East,Silver,Diesel,Manual,2.4,83917,45356,7845,High
5 Series,2024,Africa,Grey,Diesel,Automatic,1.8,125124,113166,3335,Low
X5,2014,South America,Blue,Hybrid,Manual,2.7,80129,74014,2353,Low
X3,2011,Asia,White,Diesel,Automatic,3.9,93678,86842,3161,Low
X6,2021,North America,Blue,Diesel,Manual,4.4,161872,107088,3206,Low
X1,2014,North America,Grey,Hybrid,Manual,4.2,73437,45207,2739,Low
5 Series,2011,North America,Blue,Petrol,Manual,4.8,94691,69517,4000,Low
X5,2023,Africa,Blue,Electric,Manual,2.5,16040,91555,3272,Low
X3,2019,North America,Silver,Hybrid,Manual,2.1,901,105888,8835,High
X1,2017,Africa,White,Hybrid,Manual,2.4,176079,95912,2079,Low
7 Series,2012,North America,White,Petrol,Automatic,3.8,136276,54233,7563,High
X5,2012,Europe,Blue,Hybrid,Manual,4,104816,81275,2030,Low
X6,2012,Europe,Blue,Petrol,Automatic,2.1,191200,102616,4908,Low
M5,2012,Middle East,Grey,Diesel,Manual,4.5,116379,100762,4382,Low
X5,2018,South America,White,Diesel,Manual,4.2,71522,40333,5962,Low
7 Series,2019,South America,Blue,Petrol,Manual,2.8,112648,98288,1133,Low
3 Series,2022,South America,Blue,Petrol,Manual,2.9,15743,37152,5775,Low
X6,2017,South America,Grey,Petrol,Manual,4.8,4074,108437,5027,Low
X1,2023,South America,Blue,Electric,Manual,4.9,165005,102309,4303,Low
X3,2021,Asia,Silver,Hybrid,Manual,2.6,51547,52424,1381,Low
5 Series,2016,Middle East,Red,Petrol,Manual,4.4,15375,30645,5691,Low
X5,2019,Europe,Black,Diesel,Manual,3.8,50299,73878,3923,Low
7 Series,2020,Middle East,White,Electric,Manual,3.3,182367,75577,2795,Low
M3,2010,Asia,Black,Hybrid,Automatic,4.6,107263,109285,5727,Low
X5,2018,North America,Red,Petrol,Automatic,2.9,199593,42009,3610,Low
X3,2017,Africa,White,Electric,Manual,3,158691,92680,9897,High
5 Series,2015,Asia,Blue,Petrol,Manual,2.7,123053,77524,2623,Low
3 Series,2014,Middle East,Black,Electric,Manual,2,167853,93568,7523,High
3 Series,2012,Middle East,Silver,Electric,Manual,2.5,192448,107950,7718,High
X1,2014,Middle East,White,Hybrid,Manual,2.7,139953,63326,4351,Low
5 Series,2018,Asia,Grey,Hybrid,Manual,3.3,13203,44719,6537,Low
X5,2011,Europe,Blue,Diesel,Manual,4.2,33142,30374,7207,High
i3,2010,South America,White,Electric,Automatic,3.5,7119,95397,7531,High
5 Series,2017,North America,White,Petrol,Manual,2.1,49781,101578,6731,Low
3 Series,2020,Middle East,Red,Diesel,Automatic,4.3,183198,34674,9737,High
i3,2012,Europe,Black,Diesel,Manual,4.3,139383,64874,1760,Low
i3,2016,North America,Black,Hybrid,Manual,4.5,68014,104313,6221,Low
M5,2010,Asia,Silver,Hybrid,Automatic,2.5,62672,56731,8639,High
3 Series,2024,Africa,Red,Hybrid,Automatic,4.5,6983,72014,5572,Low
X1,2019,North America,Blue,Hybrid,Automatic,3.6,101941,105162,9114,High
X5,2010,South America,Red,Petrol,Manual,2.5,42760,79957,4985,Low
X1,2015,South America,Red,Diesel,Manual,4,83422,30566,2035,Low
3 Series,2019,Africa,Black,Hybrid,Automatic,1.5,151218,73456,2668,Low
X1,2017,Middle East,Silver,Electric,Manual,2,47027,56379,3114,Low
X1,2017,North America,Black,Diesel,Automatic,2.5,4236,40757,7898,High
7 Series,2017,Asia,Grey,Diesel,Automatic,4.2,21070,31760,1001,Low
X6,2011,South America,Grey,Petrol,Automatic,4.3,195901,39403,8627,High
3 Series,2010,Asia,Red,Petrol,Manual,4.5,52350,46813,4437,Low
M3,2013,Asia,Black,Diesel,Manual,4.2,61842,77628,1097,Low
X5,2019,Middle East,Silver,Petrol,Automatic,4.7,137693,63480,4498,Low
3 Series,2014,Europe,Silver,Electric,Manual,1.6,31916,48407,7041,High
M5,2019,Africa,Black,Electric,Automatic,5,85440,104395,3690,Low
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,3683,Low
5 Series,2018,Middle East,Black,Diesel,Manual,2.4,127289,113328,3618,Low
7 Series,2012,Europe,White,Diesel,Manual,3.5,130593,74598,5078,Low
M3,2016,Middle East,White,Hybrid,Automatic,4.7,23278,39071,1089,Low
7 Series,2010,South America,Black,Hybrid,Automatic,3.6,80705,90371,5715,Low
M3,2015,Africa,Grey,Petrol,Manual,2.2,56781,58393,4894,Low
i8,2018,Middle East,Silver,Diesel,Manual,1.9,79450,81393,7854,High
3 Series,2024,Europe,Silver,Diesel,Automatic,3.3,11485,97278,5976,Low
3 Series,2013,Europe,Grey,Electric,Manual,4.3,128661,101762,1406,Low
X6,2022,South America,Grey,Petrol,Automatic,1.8,20815,113483,9594,High
i8,2012,North America,Black,Hybrid,Automatic,2.5,130343,91964,5087,Low
5 Series,2018,Middle East,Red,Diesel,Manual,4.9,33657,119115,6663,Low
X1,2019,Africa,Black,Electric,Manual,3.6,76467,111318,6091,Low
M3,2013,Africa,Red,Petrol,Manual,2.3,129140,61598,5763,Low
i8,2014,Asia,White,Diesel,Manual,4.7,21951,92132,2093,Low
5 Series,2015,South America,Blue,Electric,Automatic,2.2,150612,97253,8143,High
X1,2019,Asia,Blue,Electric,Manual,1.5,96244,113609,6143,Low
i3,2016,Middle East,White,Hybrid,Automatic,1.8,191746,71640,2841,Low
X1,2013,Europe,Blue,Petrol,Automatic,2.9,187819,31907,7519,High
3 Series,2022,Africa,Silver,Diesel,Manual,1.9,145241,113054,9043,High
X6,2012,North America,Red,Hybrid,Manual,4.7,30920,59491,2325,Low
M3,2021,Asia,Black,Hybrid,Manual,2.6,11626,110755,590,Low
3 Series,2021,South America,Silver,Hybrid,Automatic,3.3,198014,85739,725,Low
M3,2011,Europe,Silver,Hybrid,Automatic,1.6,154581,114262,5600,Low
X6,2020,North America,Blue,Diesel,Manual,3,62672,88062,6956,Low
M5,2024,Africa,Silver,Petrol,Automatic,3.4,65401,81082,9762,High
X5,2010,Asia,Black,Diesel,Manual,2.4,44048,64787,1995,Low
7 Series,2021,North America,Silver,Hybrid,Automatic,4,115542,83591,5004,Low
M3,2011,South America,Grey,Petrol,Manual,4.1,156003,84859,5241,Low
M3,2023,Africa,Silver,Diesel,Automatic,4.1,199502,50472,4988,Low
3 Series,2014,Africa,Grey,Diesel,Manual,1.7,63530,96661,6118,Low
3 Series,2020,Middle East,Red,Diesel,Manual,4.9,47575,38908,8890,High
5 Series,2019,Africa,Black,Petrol,Automatic,3.2,139657,59560,5233,Low
i3,2010,Middle East,Black,Petrol,Manual,3.3,63240,99757,997,Low
M3,2013,Middle East,Grey,Diesel,Automatic,4.1,161631,94689,5181,Low
M3,2010,North America,Black,Electric,Manual,3.7,77550,107732,2426,Low
M5,2022,South America,Black,Hybrid,Manual,2.4,182819,39322,7939,High
M5,2020,North America,Grey,Diesel,Automatic,4.1,185328,79959,2624,Low
3 Series,2011,North America,Silver,Diesel,Automatic,2.1,5139,119284,8141,High
i3,2020,North America,Blue,Electric,Automatic,3.6,56317,99091,6032,Low
X6,2019,Asia,Red,Petrol,Automatic,1.6,122672,47846,538,Low
X3,2022,Africa,White,Hybrid,Manual,3.2,45280,55157,2219,Low
i8,2022,Asia,White,Diesel,Manual,2.3,33494,40087,438,Low
X6,2020,South America,Silver,Petrol,Automatic,4.8,2701,110115,1181,Low
5 Series,2013,Middle East,Silver,Petrol,Manual,1.6,140301,102219,4519,Low
3 Series,2020,Europe,Silver,Hybrid,Automatic,3.6,125837,108689,6176,Low
5 Series,2017,North America,Red,Diesel,Automatic,4.3,75731,47662,1429,Low
X1,2016,South America,Black,Hybrid,Automatic,4.1,156785,33993,5977,Low
X6,2018,North America,Red,Hybrid,Manual,1.6,168216,113390,3125,Low
7 Series,2020,Middle East,Black,Electric,Manual,4.8,172040,43055,5688,Low
i3,2011,Europe,Blue,Electric,Manual,4.4,99187,85449,5459,Low
3 Series,2019,South America,Black,Hybrid,Manual,3.9,42467,102968,2165,Low
i8,2013,Asia,Grey,Petrol,Automatic,3.7,109549,46743,6677,Low
M5,2014,Europe,Blue,Diesel,Automatic,1.8,174370,113654,8578,High
M3,2015,Asia,Black,Diesel,Manual,4.5,108038,112081,439,Low
X1,2023,Middle East,White,Electric,Manual,1.8,3833,36006,471,Low
X6,2016,Africa,Grey,Electric,Automatic,1.9,47639,74727,8169,High
7 Series,2014,North America,Red,Diesel,Automatic,2.2,81858,118461,6524,Low
i3,2019,Asia,White,Electric,Automatic,4.9,36154,93388,6885,Low
i8,2019,South America,Red,Diesel,Automatic,4.9,84083,52803,5565,Low
7 Series,2016,North America,Black,Electric,Manual,1.8,148570,109666,1760,Low
3 Series,2020,Middle East,Red,Hybrid,Manual,2.5,33413,32587,3813,Low
i8,2014,South America,White,Petrol,Automatic,3.2,111498,46536,6055,Low
X3,2014,North America,Black,Petrol,Manual,1.6,112839,108562,6705,Low
X1,2020,Africa,Blue,Hybrid,Automatic,3.5,27794,65051,4441,Low
X1,2018,Europe,Silver,Diesel,Automatic,4.4,63728,49735,4287,Low
X5,2022,South America,Black,Diesel,Automatic,2.7,5237,61414,6954,Low
X6,2012,Middle East,White,Electric,Manual,2.9,26272,97562,9587,High
i3,2020,Middle East,Red,Diesel,Manual,3.1,48151,49970,7602,High
5 Series,2024,Africa,Black,Hybrid,Automatic,4.9,149476,82125,3341,Low
M5,2012,Asia,Grey,Electric,Manual,2.1,189693,71530,3136,Low
i3,2014,Europe,White,Diesel,Manual,4.5,137632,44441,4761,Low
7 Series,2024,South America,Grey,Electric,Automatic,3,62393,108503,9817,High
5 Series,2022,Africa,Blue,Electric,Automatic,1.9,147952,39275,2077,Low
7 Series,2017,Middle East,Red,Petrol,Automatic,4,152968,111730,964,Low
X6,2022,Asia,Blue,Diesel,Manual,2.5,71180,77715,3420,Low
X1,2014,North America,Grey,Hybrid,Automatic,3.8,110785,114851,1848,Low
3 Series,2015,Europe,White,Electric,Manual,2.8,101025,82672,6832,Low
7 Series,2023,Middle East,Grey,Petrol,Manual,3.4,141634,81364,4019,Low
X5,2020,Europe,Grey,Electric,Manual,1.8,13648,90330,9318,High
X1,2014,Europe,Silver,Hybrid,Automatic,3.7,81661,31028,1513,Low
i3,2019,Africa,Grey,Petrol,Automatic,3.5,196777,83167,3230,Low
7 Series,2017,South America,Red,Petrol,Manual,4.3,177231,55730,1764,Low
i8,2018,Europe,White,Hybrid,Manual,1.7,116667,74530,746,Low
M5,2011,North America,Silver,Electric,Manual,3,56620,44239,2456,Low
i8,2012,Africa,Silver,Electric,Automatic,2.8,13934,88502,6963,Low
X5,2024,Asia,Red,Hybrid,Manual,4.1,179263,51892,3770,Low
X5,2013,Europe,Grey,Hybrid,Automatic,2.7,136204,89404,9716,High
7 Series,2013,Africa,Blue,Diesel,Manual,2.8,147448,88689,6247,Low
5 Series,2013,North America,Blue,Hybrid,Manual,2.2,181887,58949,6072,Low
X1,2018,Middle East,Silver,Diesel,Manual,1.5,92058,56328,7761,High
7 Series,2019,Middle East,White,Electric,Automatic,1.9,165987,70704,3499,Low
i3,2019,Europe,Black,Diesel,Automatic,2.6,150901,111466,236,Low
X1,2020,Middle East,Blue,Hybrid,Manual,2.1,136086,111122,989,Low
5 Series,2011,Europe,Grey,Hybrid,Automatic,2.7,53566,60571,9253,High
X5,2011,Middle East,Blue,Hybrid,Automatic,4.2,3652,92692,845,Low
M5,2014,Asia,Silver,Petrol,Manual,3.1,14198,109828,3382,Low
M3,2011,Africa,Black,Electric,Automatic,2.2,59875,94989,3435,Low
i3,2014,Middle East,Silver,Petrol,Manual,4.6,188577,54031,6487,Low
X3,2019,South America,Blue,Petrol,Manual,2.4,196091,117984,6251,Low
X5,2020,Europe,Blue,Electric,Automatic,4.8,819,109874,2581,Low
i3,2014,South America,Black,Petrol,Manual,3,47022,71132,5284,Low
M5,2013,Asia,Red,Petrol,Manual,2.5,166215,106997,1793,Low
i8,2010,Asia,Red,Hybrid,Manual,2.7,81740,64864,2771,Low
i3,2010,Middle East,Black,Diesel,Manual,1.5,162727,37610,105,Low
M3,2023,Middle East,Grey,Petrol,Automatic,4.7,131690,101536,7277,High
3 Series,2016,Europe,White,Hybrid,Manual,4.7,133280,92164,9629,High
7 Series,2018,South America,Grey,Electric,Automatic,2.6,174450,49658,9058,High
X1,2014,North America,White,Diesel,Manual,2.6,158073,53659,2730,Low
3 Series,2017,South America,Grey,Electric,Manual,3.5,132982,38080,6974,Low
X3,2018,Middle East,Grey,Diesel,Automatic,3.1,14849,81875,3445,Low
M3,2023,South America,Blue,Electric,Manual,1.8,93510,79710,4415,Low
M3,2013,Middle East,Grey,Petrol,Automatic,3.8,168538,93051,4140,Low
X5,2012,Africa,Blue,Hybrid,Manual,3.1,90792,77049,6467,Low
i8,2024,Europe,Silver,Petrol,Manual,3.4,174807,38732,9937,High
X3,2023,Europe,Silver,Petrol,Automatic,1.9,109259,103824,4689,Low
M5,2022,North America,Blue,Petrol,Automatic,1.6,168660,115293,7821,High
3 Series,2017,Africa,Red,Hybrid,Automatic,4.9,187000,112833,1139,Low
X3,2012,Asia,Black,Petrol,Manual,3.1,190528,64251,8355,High
i8,2013,Europe,Red,Diesel,Automatic,2.9,23651,51805,6172,Low
